content,score,sentiment
"kesan pertama: aku install lagi kemarin. Awalnya aku ragu buat promosi makanan rumahan, tapi tombol promosinya gampang ditemukan. hasilnya konsisten di hpku? lah Device: Samsung A05s, jaringan Indosat. lumayan lah",5,positive
"sebagai kurir yang cek order, waktu nyari resep singkat, tombol checkout suka freeze, ini bug kecil tapi efeknya besar jangan cuma tambah fitur baru. (vivo Y21, Android 10) Masalahnya kerasa pas handle basic alat tulis. Di fitur stitch, jadwal posting lompat tanggal. #crashlagi",1,negative
"buat buat konten affiliate, pesanan gagal kebaca. produk rice cooker mini jadi susah diproses, tolong dibenerin dulu sebelum nambah fitur? Masalahnya kerasa pas handle daily poster kamar.",2,negative
"sebagai kreator resep singkat, bwt konten random sore-sore, moderasi komentar aneh, ini bug kecil tapi efeknya besar aku harap versi berikutnya lebih stabil! di Makassar versi v29.4.2 Di halaman draft, alamat pembeli kepotong di kecamatan. Setelah dicooba 2 jam, susah percaya kalau order lagi ramai.",3,negative
"buat bikin konten musik, moderasi komentar aneh. proudk kabel charger jadi susah diproses, nggak bisa diandalkan pas butuh cepat!! Masalahnya kerasa pas handle eceran sling bag. Device: Samsung A12, jaringan Indihome. fix uninstall dulu",2,negative
"buat lihat live seller lokal, tampilannya oke, sayangnya bug-nya sering muncul. akun mendadak kena limit, problemnya muncul terus meski sudah update. Di fitur duet, filter ukuran produk error. #paketnyangkut",3,negative
"sebagai pembuat konten kampus, Buat cari review gadget, feed isinya nggak relevan. produk skincare travel size jadi susah diproses, lebih banyak ganggu daripada bantu? #reviewjujur Masalahnya kerasa pas handle grosir rak kosmetik. Di komentar live, jadwal posting lompat tanggal. Setelah dicoba 2 jam, fitur pentingnya kalah sama animasi.",2,negative
"sebagai orang yang cuma scroll malam, di Pedurungan, gw pakai hampir tiap hari, refund statusnya nggak jelas, cukup ganggu buat pemakaian haarian aku tunggu update perbaikan! Masalahnya kerasa pas handle quick order skincare pouch. Di menu notifikasi, live replay berhenti di menit awal.",2,negative
"sebagai affiliate pemula, di Kuta, dibanding versi sebelumnya ini lebih stabil, rekomendasi feed lebih nyambung, aku bisa rekomendasiin ke temen... Cocok juga buat handle student sling bag. Di menu notifikasi, insight penonton dibagi per jam.",5,positive
"kalau dipakai pas jam ramai, live chat customer responsif,ini salah satu update yang benar kalau stabil terus bakal jadi favorit. Di for you page, live replay tidak patah.",5,positive
"hasilnya lebih rapi dibanding bulan lalu, dashboard seller lebih kebaca, ini update yang kerasa manfaatnya. Cocok juga buat handle travel keyboard membran. Device: realme Narzo 50, jaringan Indihome.",5,positive
"di hp lama masih aku tes, live chat custommer responsif, buat kebutuhan harian ini sdh nyaman mungkin beda di hp lain? Di seller center, komentar prioritas naik sendiri. Setelah dicoba 3 kali, kerasa dipikirin flow-nya.",5,positive
"sebagai pembeli barang murah, di Jember, Bagus banget ya, checkout aja sampaitiga kali gagal, feed isinya nggak relevan. cukup mengecewakan bwt app sebesar ini. wkwk Setelah dicoba 120 klik, terlalu banyak tap buat hal sederhana.",1,negative
"sebagai penonton live random, di Karawaci, versi kali ini terasa lebih ringan, duet dan stitch jalan mulus, ini update yang kerasa manfaatnya! Setelah dicoba 1.1 GB cache, bukan cuma cantik di tampilan.",5,positive
"buat liat live sellerlokal, checkout terasa lebih singkat, ini update yg kerasa manfaatnya please jangan dirusak update berikutnya. Setelah dicoba 1.2k view, rasanya lebih dekat ke kebutuhan seller kecil.",4,positive
"di Rungkut, buat lihat live seller lokal, aplikasinya sering force close, angka view tiba-tiba drop, lebih banyak ganggu daripada bantu. deh cc moderator Di dashboard campaign, laporan retur gagal diunduh. Setelah dicoba 28 order, kesannya testing di device bagus doang. #sellerpanik",3,negative
"dari minggu lalu progresnya kelihatan, dashboard seller lebih kebaca, cukup membantu buat pemula? #fyp Setelah dicoba 14 produk, cukup ramah buat hp pas-pasan.",5,positive
"observasi pribadi: di hp lama masih aku tes!! Aku cuma mau jualan skincare, tapi search barang suka nyasar. nggak bisa diandalkan pas butuh cepat. (vivo V25, Android 11) Masalahnya kerasa pas handle eceran powerbank slim. #checkoutmacet anjir",1,negative
"di Batu Ampar, observasi pribadi: adik gue sering buka app ini. Aku cuma mau balas komentaar pembeli, tapi aplikasi sering force close. support-nya kurang menolong. Di inbox pembeli, iklan toko susah dipause. Setelah dicoba 350 view, rasanya kayak tambal sulam. Device: Infinix Note 30, jaringan wifi rumah.",1,negative
"di Banjarbaru, tes ringan: dari sisi penonton biasa. Awalnya aku ragu buat lihat resep masakan, tapi voucher akhirnyakebaca. cukup reliable untuk kerja ringan? ngl (Samsung S21 FE, iOS 15) di Tangerang",4,positive
"masalahnya lebih parah dibanding bulan lalu, voucher tiba-tiba hilang, ini bug kecil tapi efeknya besar? Masalahnya kerasa pas handle viral mouse wireless. Setelah dicoba 14 produk, seller kecil jadi ikut nanggung risiko. Device: realme C55, jaringan 4G.",1,negative
"tes ringan: aku install lagi kemarin. Aku cuma mau cek harga barang, tapi support balasnya template semua. lebih banyak ganggu daripada bantu... Masalahnya kerasa pas handle basic adapter hdmi.",1,negative
"sebagai admin live shopping, di Seturan, pas lagi bikin konten tugas, rekomendasi feed lebih nyambung, jadi lebih sering kepakai masih bisa ditingkatkan! (Samsung A52, Android 10)",5,positive
"buat konten random sore-sore,kontennya banyak, tapi rekomendasinya makin jauh. moderasi komentar aneh, ini bikin workflow jadi kacau. nih #feedacak",1,negative
"di hp mid-range pun masih jalan, voucher akhirnya kebaca, fiturnya sederhana tapi kepakai... #creator (Infinix Hot 30, iOS 15) Cocok juga buat handle anti ribet kabel type-c. Device: OPPO A54, jaringan 5G.",5,positive
"gue coba selama seminggu, fitur live seller membantu, thumbnail nggak pecah, overall cukup worth it! asli Cocok juga buat handle lokal kertas foto.",4,positive
"fitur baru banyak, fitur lama malah rusak, voucher tiba-tiba hilang. aku uninstall dulu sementara... Masalahnya kerasa pas handle new arrival mic clip-on. Di menu affiliate, template balasan customer terkirim mentah. Setelah dicoba 14 produk, rasanya kayak tambal sulam.",3,negative
"sebagai penonton live random, di Cimone, buat cari review barang, draft video aman tersimpan,feelnya good enough. please jangan dirusak update berikutnya... (Redmi Note 11, Android 10) Cocok juga buat handle daily keyboard membran. Di creator tools, iklan toko lebih mudah dipause. Setelah dicoba 3 voucher, cukup manusiawi buat pengguna awam. Device: Redmi 13C, jaringan hotspot teman. #draftselamat",4,positive
"sebagai pengguna hp mid-range, review santai: setelah reinstall aplikasi. Aku cuma mau cek order harian, tapi search barang suka nyasar. belum layak disebut stabil. bjir Di fitur search, iklan toko susah dipause. Device: Poco X3, jaringan Indosat. #sellerpanik",2,negative
"sebagai kreator resep singkat, feedback kecil: di hp lama masih aku tes. Awalnya aku ragu buat jualan aksesoris hp, tapi fitur live seller membantu. buat seller kecil ini ngebantu. versi v34.7.0 Cocok juga buat handle stok akhir lanyard kampus. Di menu notifikasi, preview ongkir muncul lebih awal. Setelah dicoba 14 produk, cukup manusiawi buat pengguna awam. #kontenharian",4,positive
"di Palmerah, lebih enak daripada app toko sebelah, upload video lebih stabil, fiturnya sederhana tapi kepakai!! #checkout Device: Redmi Note 12 Pro, jaringan Telkomsel.",5,positive
"sebagai mahasiswa yang jualan sampingan, di Karawaci, temen kantor nyaranin ini, fitur duet delay parah, rasanya seperti dipaksa jadi beta tester tolong jangan diabaikan... via wifi kos cc tim dev Setelah dicoba 1.2k view, UI-nya rapi tapi otaknya lambat.",2,negative
"pengalaman singkat: aku bandingin sama minggu lalu. Awalnya aku ragu buat lihat live diskon, tapi export video nggak pecah. nggak sempurna tapi arahnya bagus. Di shipping tracker, alamat pembeli kebaca sampai RT. Device: iPhne 11, jaringan Smartfren.",5,positive
"sebagai pemebli flash sale, di hp lama masih aku tes, voucher akhirnya kebaca, buat kebutuhan harian ini sudah nyaman aku kasih nilai segini dulu!!? via wifi kos Cocok juga buat handle paket hemat masker kain. Di order detail, thumbnail tersimpan tanpa pecah.",5,positive
"sebagai affiliate pemula, tiap habis upload video, algortma rekomendasi terasa random, angka view tiba-tiba drop, pengalaman pakainya turun jauh. #seller (Infinix Hot 30, Android 12) Di filter spam, template balasan customer terkirim mentah. #feedacak",2,negative
"sebagai orang yang sering pakai voucher, di Cikarang, habis login ulang, rekomendasi kreator lokal makin bagus, fiturnya sederhana tapi kepakai aku bakal pantau update berikutnya! di Manado Di keranjang, kode referral tidak hilang. Setelah dicoba 20 menit, cukup manusiawi buat pengguna awam. #sellerkecil",3,positive
"sebagai admin live shopping, temen kantor nyaranin ini, akun mendadak kena limit, rasanya performa makin berat kalau perlu rollback aja dulu!!. Masalahnya kerasa pas handle murah kipas portable.",1,negative
"di Bintaro, pas lagi bikin konten tugas, tracking paket sering telat, konten stuck di processing, cukup mengecewakan buat app sebesar ini. di Bogor Di tab Shop, alamat pembeli kepotong di kecamatan. Device: Samsung S20 FE, jaringan Indihome. #sellerpanik",1,negative
"di akun kedua aku coba juga, upload berhenti di tengah, tolong dibenerin dulu sebelum nambah fitur jangan cuma tambah fitur baru. Masalahnya kerasa pas handle ready-stock totebag kanvas. Device: Redmi Note 12 Pro, jaringan hotspot teman.",2,negative
"di jaringan wifi rumah, rekomendasi feed lebih nyambung, buat kebutuhan harian ini sudah nyaman aku bakal pantau update berikutnya!! cc kurir Device: realme 8, jaringan 4G. #livejualan",5,positive
"sebagai kreator edukasi kecil, laporan user: sebagai seller pemula aku ngerasain. Awalnya aku ragu buat cek order harian, tapi export video nggak pecah. kerjanya lebih smooth dari ekspektasi. Cocok juga buat handle rumahan kacamata baca. Setelah dicoba 3 voucher, akhirnya terasa seperti fitur yang selesai.",4,positive
"laporan user: aku install lagi kemarin!! Awalnya aku ragu buat cari rekomendasi skincare, tapi notifikasi order masuk cepat. cukup reliable untuk kerja ringan? Cocok juga buat handle paket trial planner bulanan. Di halaman laporan, iklan toko lebih mudah dipause. Device: OPPO Reno 6, jaringan Indihome. #draftselamat enak juga",5,positive
"sebagai pembeli flash sale, waktu nyari resep singkat, aplikasi boros baterai, rasanya performa makin berat ini bukan sekadar komplain kecil? #bugreport via 5G Masalahnya kerasa pas handle clearance kacamata baca. Di shipping tracker, stok sisa tidak ikut sinkron.",2,negative
"sebagai affiliate pemula, di Antapani, pengalaman singkat: di mode hemat baterai. Awalnya aku ragu buat lihat resep masakan, tapi notifikasi order masuk cepat. pengalaman belanja jadi lebih enak! Cocok juga buat handle ukuran kecil stand laptop. Di live control room, komentar prioritas naik sendiri.",5,positive
"sebagai pegawai shift malam, laporan user: gue coba selama seminggu. Awalnya aku ragu buat jualan mainan anak, tapi notifikasi order masuk cepat. hasilnya konsisten di hpku? Cocok juga buat handle student totebag kanvas. Di shipping tracker, alamat pembeli kebaca sampai RT. Setelah dicoba tanggal kembar, aku nggak perlu tanya-tanya lagi.",4,positive
"catatan kecil: pas sinyal agak jelek aku tetap coba. Aku cuma mau jualan aksesoris hp, tapi komentar gagal terkirim. lebih banyak ganggu daripada bantu? #checkout Masalahnya kerasa pas handle preloved kacamata baca.",1,negative
"sebagai penjual makanan pre-order, di Panakkukang, habis login ulang, export video nggak pecah, cukup reliable untuk kerja ringan buat versi sekarang sudah oke... via Indosat Cocok juga buat handle flash-sale baju bayi. Di seller center, arsip chat gampang dicari. Device: reaalme C55, jaringan Telkomsel. gaskeun",4,positive
"buat buat konten affiliate, checkout terasa lebih singkat. baju bayi lebih gampang dikelola, fiturnya sederhana tapi kepakai!! (Redmi 12C, iOS 17) Setelah dicoba 4 kali, cukup ramah buat hp pas-pasan.",5,positive
"sebagai seller aksesoris rumahan, tes ringan: aku bandingin sama minggu lalu. Awalnya aku ragu buat buat konten affiliate, tapi hasil search hashtag lebih tepat. ini update yang kerasa manfaatnya.",5,positive
"pengalaman singkat: pas lagi nunggu bus aku buka. Aku cuma mau follow kreator edukasi, tapi live sering patah-patah. rasanya performa makin berat... cc support Di dashboard campaign, kupon toko gagal terpasang. Setelah dicoba 3 kali, susah percaya kalau order lagi ramai.",2,negative
"aku install lagi kemarin, duet dan stitch jalan mulus, buat seller kecil ini ngebantu bwt versi sekarang sudah oke. #creator versi v30.7.0 #promolancar capee",3,positive
"sebagai pembeli flash sale, di Medan Johor, habis login ulang, notifikasi kadang dobel, tapi order tetap masuk, draft video aman tersimpan. kerjanya lebih smooth dari ekspektasi. nih Cocok juga buat handle hitam doff sabun muka.",5,positive
"sebagai reseller skincare lokal, feedback kecil: setelah cache dibersihin. Awalnya aku ragu buat lihat live diskon, tapi musik yang disaranin cocok. aku lumayan puas!! Cocok juga buat handle ready-stock tablet bekas. Di menu insight, preview ongkir muncul lebih awal. #fiturkepakai fix uninstall dulu",5,positive
"di Panakkukang, Pengaalman singkat: dari sisi penonton biasa... Awalnya aku ragu buat jualan skincare, tapi mode dark-nya nyaman. kerjanya lebih smooth dari ekspektasi? Di live control room, link produk tetap nempel di video. Setelah dicoba 3 hari, cukup manusiawi buat pengguna awam.",5,positive
"di Cikupa, pas checkout barang murah, feed isinya nggak relevan, tolong dibenerin dulu sebelum nambah fitur capek report berkali-kali. #update Masalahnya kerasa pas handle hitam doff sticker pack. Setelah dicoba 30 menit, seller kecil jadi ikut nnggung risiko.",2,negative
"buat lihat live seller lokal, pencarian barang makin relevan, nggak sempurna tapi arahnya bagus kalau stabil terus bakal jadi favorit! #promo Cocok juga buat handle quick order kaos polos. Setelah dicoba 1.2k view, cukup aman buat dipakai pas campaign kecil. Device: Tecno Spark, jaringan 5G. #orderaman",5,positive
"pas mobile data dipakai, pesanan gagal kebaca, pengalaman pakainya turun jauh please fix basic flow dulu! via Indosat cc pembeli Masalahnya kerasa pas handle ukuran kecil strap masker. Di tab Shop, laporan retur gagal diunduh. Setelah dicoba tanggal kembar, fitur pentingnya kalah sama animasi.",2,negative
"di Cimone, aku bandingin sama minggu lalu, support balasnya template semua, nggak bisa diandalkan pas butuh cepat aku tunggu update perbiakan?. di Balikpapan Setelah dicoba 3 voucher, susah percaya kalau order lagi ramai.",1,negative
"buat lihat live seller lokal, tab inbox lama kebuka, preview caption kosong, capek sendiri ngulang dari awal! Masalahnya kerasa pas handle bundling mic clip-on. Di seller centter, angka klik produk kosong. Setelah dicoba 42 order, fitur pentingnya kalah sama animasi. Device: iPhone 11, jaringan Smartfren. #crashlagi aman jaya",3,negative
"sebagai pembli barang murah, versi kali ini terasa lebih ringan, upload video lebih stabil, buat seller kecil ini ngebantu. #creator Cocok juga buat handle warna pastel parfum roll-on. Setelah dicoba 12 menit, akhirnya terasa seperti fitur yang selesai.",4,positive
"adik gue sering buka app ini, fitur simpan favorit praktis, alamat pembeli terbaca lengkap, rasanya lebih matang dari versi sebelumnya? (Infinix Hot 30, Android 11) Cocok juga buat handle anti ribet totebag kanvas. Device: Infinix Note 30, jaringan Telkomsel.",5,positive
"buat lihat traffic toko, pesanan gagal kebaca. produk hoodie lokal jadi susah diproses, aku jadi ragu pakai lagi? di Tangerang Di halaman voucher, iklan toko susah dipause. Device: realme C67, jaringan Indosat. #crashlagi",4,negative
"sebagai penonton live random, di Ciputat, buat lihat traffic toko, dashboard seller lebih kebaca. totebag lebih gampang dikelola, ini update yang kerasa manfaatnya. via Biznet gaskeun",5,positive
"Dari sisi penonton biasa, refund statusnya nggak jelas, musik hilang setelah draft dibuka, aku uninstall dulu sementara. (Poco X3, Android 11) Masalahnya kerasa pas handle custom kotak makan. Di keranjang, template balasan customer terkirim mentah. Setelah dicoba tanggal kembar, UI-nya rapi tapi otaknya lambat. #paketnyangkut aman jaya",2,negative
"pas checkout barang murah, tombol promosinya gampang ditemukan, pesanan repeat gampang dicari, buat seller kecil ini ngebantu...",4,positive
"adik gue sering buka app ini, iklan masih ada, tapi nggak terlalu agresif, musik yang disaranin cocok. aku bisa rekomendasiin ke temen. Di halaman alamat, preview ongkir muncul lebih awal.",4,positive
"di Manado Timur, versi kali ini terasa lebih ringan, template editornya gampang dipakai, buat kebutuhan harian ini sudah nyaman. cc kurir Cocok juga buat handle viral baju bayi. Di kolom komentar, filter ukuran produk lebih enak. #checkoutcepat",5,positive
"di mode hemat baterai, pesanan gagal kebaca, capek sendiri ngulang dari awal di hpku kejadian terus. Masalahnya kerasa pas handle lokal baju bayi. Setellah dicoba jam 11 malam, errornya tidak menjelaskan apa-apa. Device: Samsung A14, jaringan 4G. #crashlagi",1,negative
"buat cari review barang,kadang loading sebentar, tapi hasil akhirnya oke, fitur simpan favorit praktis. pengalaman belanja jadi lebih enak! (realme C55, Android 14) Di live control room, komentar prioritas naik sendiri. Setelah dicoba 3 voucher, flow-nya nyambung dari awal sampai akhir.",5,positive
"sebagai admin toko kecil, di Kebayoran, laporan user: buat cari review barang. Awalnya aku ragu buat bikin konten musik, tapi export video nggak pecah. kerjanya lebih smooth dari ekspektasi! ribet amat",5,positive
"sebagai pengguna hp mid-range, di Medan Johor, buat bikin konten musik, tracking paket kelihatan jelas. hoodie lokal lebih gampang dikelola, hasilnya konsisten di hpku? (iPhone 13, Android 11) Di pusat bantuan, stok sisa langsung sinkron.",5,positive
"buat bikin konten musik, duet dan stitch jalan mulus. mouse wierless lebih gampang dikelola, ini update yang kerasa manfaatnya... deh Cocok juga buat handle basic mic clip-on.",5,positive
"sebagai orang yang cuma scroll malam, di Banjarbaru, buat balas komentar pembeli, tracking paket kelihatan jelas. case hp lebih gampang dikelola, pengalaman belanja jadi lebih enak! #promo di Manado Cocok juga buat handle quick order hijab voal. Di menu affiliate, kupon toko otomatis terpasang. Setelah dicoba 2 kali, cukup ramah buat hp pas-pasan. Device: Advan lokal, jaringan Smartfren. #livejualan",5,positive
"sebagai mahasiswa yang jualan sampingan, di Cilandak, dibanding versi sebelumnya ini lebih stabil, sinkronisasi kontaknya cepat, jadi lebih sering kepakai! Di halaman laporan, jadwal posting tidak lompat tanggal. Setelah dicoba 4 kali, akhirnya terasa seperti fitur yang selesai.",5,positive
"habis login ulang, search barang suka nyasar, keranjang balik ke awal, tolong dibenerin dulu sebelum nambah fitur!! #bugreport Setelah dicoba 5 menit, flow-nya putus di bagian paling penting.",1,negative
"Kalau dipakai pas jam ramai, ada typo di caption auto, tapi gampang diedit manual, dashboard seller lebih kebaca. aku bisa rekomendasiin ke temen. Di order detal, iklan toko lebih mudah dipause. Device: iPhone 12, jaringan Indihome. #promolancar",5,positive
"sebagai pemilik thrift shop, di Pondok Gede, update paling seru: login ulang tiap beberapa menit, tracking paket sering telat. buat jualan malah bikin panik. Device: vivo V25, jaringan Smartfren. ribet amat",2,negative
"Di hp mid-range langsung ngos-ngosan, algoritma rekomendasi terasa random, ini bug kecil tapi efeknya besar...",3,negative
"tiap habis upload video, refund statusnya nggak jelas, problemnya muncul terus meski sudah update sementara aku stop pakai dulu. #update Masalahnya kerasa pas handle rumahan headset kabel. Di filter spam, arsip chat susah dicari. masuk akal",1,negative
"versi kali ini terasa lebih ringan, upload video lebih stabil, kerjanya lebih smooth dari ekspektasi... di Solo Di komentar live, arsip chat gampang dicari. Setelah dicoba 30 menit, kerasa dipikirin flow-nya.",5,positive
"pas checkout barang murah, caption otomatis lumayan rapi, workflow konten jadi lebih cepat mungkin beda di hp lain... via Indihome Cocok juga buat handle murah tablet bekas. Di pusat bantuan, template balasan customer bisa diedit. Device: Redmi 9A, jaringan Telkomsel. #orderaman aman jaya",5,positive
"sebagai seller pemula aku ngerasain, caption otomatis ngawur, pesanan lama susah dicari, rasanya performa makin berat!! di Malang Masalahnya kerasa pas handle COD mouse wireless. Device: Redmi 9A, jaringan Telkomsel.",1,negative
"gue coba selama sminggu, tombol checkout suka freeze, transisi video patah-patah, capek sendiri ngulang dari awal? #FYP via 5G Masalahnya kerasa pas handle stok akhir lanyard kampus. #buglama fix kepakai",1,negative
"aku bandingin sama minggu lalu, support balasnya template semua, catatan pembeli tidak kebawa, lama-lama bikin malas buka aplikasinya?.. cc seller Masalahnya kerasa pas handle anti ribet skincare pouch. Di seller center, kode referral invalid mendadak.",2,negative
"bwt cari tutorial edit video, keranjang belanja sering kosong sendiri. produk tripod mini jadi susah diproses, cukup mengecewakan buat app sebesar ini... Di filter spam, alamat pembeli kepotong di kecamatan. Device: tablet Android murah, jaringan 5G. #checkoutmacet bikin males",1,negative
"di Sentul, pengalaman singkat: dari sisi penonton biasa. Aku cuma mau promosi thrift shop, tapi aplikasi sering force close. ini bug kecil tapi efeknya besar? Masalahnya kerasa pas handle limited cat air. Setelah dicoba 3 hari, fitur pentingnya kalah sama animasi.",2,negative
"dari sisi penonton biasa, rekomendasi kreator lokal makin bagus, thumbnail nggak pecah, jadi lebih sering kepakai? Di halaman checkout, arsip chat gampang dicari. #kontenharian",4,positive
"sebagai penonton live random, di Ngaglik, catatan kecil: temen kantor nyaranin ini. Awalnya aku ragu buat buat konten affiliate, tapi dashboard seller lebih kebaca. fiturnya sederhana tapi kepakai. (realme 8, Android 13) cc kurir Di editor video, template balasan customer bisa diedit. Setelah dicoba 27 persen baterai, kerasa dipikirin flow-nya.",3,positive
"sebagai pembeli flash sale, dari sisi penonton biasa, tracking paket kelihatan jelas, overall cukup worth it aku bakal pantau update berikutnya! cc support #promolancar",5,positive
"sebagai pembeli barang murah, setelah reinstall aplikasi, fitur live seller membantu, feelnya user friendly. aku kasih nilai segini dulu!! versi v32.6.1 Cocok juga buat handle budget tripod meja. Di inbox pembeli, filter ukruan produk lebih enak. Setelah dicoba 27 persen baterai, rasanya lebih dekat ke kebutuhan seller kecil. Device: Infinix Zero 5G, jaringan 4G. #draftselamat",5,positive
"masalahnya lebih parah dibanding bulan lalu, tracking paket sering telat, nggak bisa diandalkan pas butuh cepat. versi v32.4.0 Setelah dicoba 2 jam, fitur pentingnya kalah sama animasi. fix uninstall dulu",2,negative
"di hp mid-range pun masih jalan, kualitas video tetap tajam, rasnaya lebih matang dari versi sebelumnya! #FYP cc support Device: OPPO A54, jaringan wifi rumah.",5,positive
"review santai: aku install lagi kemarin. Aku cuma mau jualan aksesoris hp, tapi algoritma rekomendasi terasa random. ini bug kecil tapi efeknya besar! Masalahnya kerasa pas handle stok akhir mouse wireless. Setelah dicoba jam 6 pagi, bug-nya muncul pas lagi ada pembeli.",2,negative
"sebagai mahasiswa rantau, buat cek harga barang, notifikasi telat masuk. produk skincare travel size jadi susah diproses, rasanya performa makin berat? kok Di seller center, komentar penting tenggelam.",3,negative
"buat konten random sore-sore, voucher akhirnya kebaca, angka view pelan-pelan naik, aku lumayan puas?",5,positive
"dari minggu lalu progresnya kelihatan, notifikasi order masuk cepat, hasilnya konsisten di hpku!! Di order detail, kode referral tidak hilang. Setelah dicoba 20 menit, nggak bikin deg-degan pas dipakai. enak juga",4,positive
"sebagai mahasiswa rantau, pengalaman singkat: gue coba selama seminggu. Aku cuma mau promosi makanan rumahan, tapi support balasnya template semua. kelihatan belum dites serius! Masalahnya kerasa pas handle preloved buku jurnal. Di fitur duet, jadwal posting lompat tanggal. #checkoutmacet",2,negative
"di Denpasar Barat, waktu live malam kemarin, di hp kentang agak berat, tapi masih bisa dipakai, export video nggak pecah. kerjanya lebih smooth dari ekspektasi. via Indosat Cocok juga buat handle anti ribet planner bulanan. Di fitur stitch, preview ongkir muncul lebih awal. Setelah dicoba 3 voucher, kerasa dipikirin flow-nya. Device: realme C55, jaringan 4G.",4,positive
"sebagai pembeli flash sale, di hp lama masih aku tes, voucher akhirnya kebaca, feelnya responsive. masih bisa ditingkatkan... versi v33.5.0 Setelah dicoba 30 menit, kerasa dipikirin flow-nya.",5,positive
"di jaringan wifi rumah, rekomendasi feed lebih nyambung, workflow konten jadi lebih cepat nggak semua orang mungkin ngalamin. capee",5,positive
"habis login ulang, rekomendasi kreator lokal makin bagus, feelnya good enough. please jangan dirusak update berikutnya. #promo Cocok juga buat handle quick order totebag kanvas. Di fitur search, arsip chat gampang dicari. Setelah dicoba jam 11 malam, cukup aman buat dipakai pas campaign kecil.",5,positive
"buat jualan mainan anak, voucher akhirnya kebaca. powerbank lebih gampang dikelola, fiturnya sederhana tapi kepakai!! Di creator tools, jadwal posting tidak lompat tanggal. #fiturkepakai",4,positive
"tiap habis upload video, tracking paket sering telat, feelnya annoying. aku tunggu update perbaikan? #fyp Masalahnya kerasa pas handle viral parfum roll-on. Device: Redmi Note 8, jaringan hotspot teman.",2,negative
"sebagai pembeli barang murah, di Denpasar Barat, Buat cek harga barang, aplikasi boros baterai. produk hoodie lokal jadi susah diproses, buat jualan malah bikin panik... Di keranjang, komentar penting tenggelam. Setelah dicoba jam 11 malam, errornya tidak menjelaskan apa-apa. Device: Samsung A12, jaringan hotspot teman. #paketnyangkut",1,negative
"catatan kecil: di mode hemat baterai. Awalnya aku ragu buat lihat resep masakan, tapi sinkronisasi kontaknya cepat. ini update yang kerasa manfaatnya!! (realme C55, iOS 17) Cocok juga buat handle paket trial buku jurnal. fix kepakai",5,positive
"sebagai admin toko parfum, pas lagi bikin konten tugas, sebenarnya idenya bagus, tapi eksekusinya masih kasar. video jadi buram setelah diuupload, buat jualan malah bikin panik!!",1,negative
"dari sisi penontoon biasa, perlu adaptasi sedikit, tapi setelah paham cukup enak, fitur jadwal posting kepakai. aku lumayan puas. via wifi rumah",4,positive
"sebagai reseller skincare lokal, habis login ulang, cache numpuk cepat banget, nggak bisa diandalkan pas butuh cepat please fix basic flow dulu!! versi v32.7.2 Masalahnya kerasa pas handle ready-stock rak kosmetik. Setelah dicoba 30 menit, bikin mikir dua kali buat top up campaign.",1,negative
"pas lagi bikin konten tugas, draft video kadang lenyap, tolong dibenerin dulu sebelum nambah fitur aku tunggu update perbaikan... ya Masalahnya kerasa pas handle budget lanyard kampus. Di dashboard campaign, preview ongkir beda saat bayar. Setelah dicoba 3 hari, errornya tidak menjelaskan apa-apa. cape",4,negative
"sebagai kreator edukasi kecil, waktu nyari resep singkat, pencarian barang makin relevan, feelnya stable. buat skrg aku lanjut pakai. cc kurir Cocok juga buat handle paket trial hijab voal. Di keranjang, komentar prioritas naik sendiri. Setelah dicoba 2 jam, akhirnya terasa seperti fitur yang selesai. #checkoutcepat",4,positive
"di Pekanbaru Kota, upload gagal lagi (iPhone 12, Android 13) Di halaman laproan, stok sisa tidak ikut sinkron.",1,negative
"sebagai pembeli barang murah, di Pondok Gede, gw pakai hampir tiap hari, analytics kreator cukup jelas, overall cukup worth it semoga konsisten? Cocok juga buat handle ukuran kecil mainan sensorik. Di editor video, kupon toko otomatis terpasang. gaskeun",3,positive
"di Denpasar Barat, tiap habis upload video, dashboard seller lebih kebaca, feelnya smooth. masih bisa ditingkatkan. Cocok juga buat handle flash-sale parfum roll-on. Di shipping tracker, arsip chat gampang dicari. Device: Samsung S21 FE, jaringan wifi kos.",5,positive
"di akun kedua aku coba juga, musik yang disaranin cocok, aku bisa rekomendasiin ke temen buat sekarang aku lanjut pakai. Cocok juga buat handle ready-stock mouse wireless. Di halaman draft, link produk tetap nempel di video. Setelah dicoba 28 order, kerasa dipikirin flow-nya. #reviewbaik",4,positive
"buat lihat live diskon, algoritma rekomendasi terasa random. produk parfum lokal jadi susah diproses, rasanya performa makin berat!! kok via Smartfren Masalahnya kerasa pas handle basic hair tonic. Device: Poco M4 Pro, jaringan wifi rumah.",2,negative
"setelah update terakhir aku cek lagi, fitur live seller membantu,hasilnya konsisten di hpku mungkin beda di hp lain... jir di Manado Di fitur search, angka klik produk muncul jelas.",5,positive
"pas sinyal agak jelek aku tetap coba, caption otomatis ngawur, terlalu riskan buat order penting masalahnya terlalu sering muncul. sih agak zonk",2,negative
"Pas sinyal agak jelek aku tetap coba, live sering patah-patah, buat jualan malah bikin panik mohon dicek serius. #tiktokshop not bad",1,negative
